
0	0	0
0.01	0	0
0.02	0	0
0.03	0.001	0.001
0.04	0.005	0.005
0.05	0.009	0.009
0.06	0.013	0.013
0.07	0.02	0.02
0.08	0.026	0.026
0.09	0.03	0.03
0.1	0.044	0.044
0.11	0.058	0.058
0.12	0.082	0.082
0.13	0.087	0.087
0.14	0.103	0.103
0.15	0.122	0.122
0.16	0.144	0.144
0.17	0.174	0.174
0.18	0.194	0.194
0.19	0.224	0.224
0.2	0.258	0.258
0.21	0.278	0.278
0.22	0.293	0.293
0.23	0.333	0.333
0.24	0.372	0.372
0.25	0.406	0.406
0.26	0.446	0.446
0.27	0.467	0.469
0.28	0.499	0.501
0.29	0.541	0.543
0.3	0.6	0.605
0.31	0.642	0.647
0.32	0.7	0.705
0.33	0.793	0.798
0.34	0.872	0.877
0.35	0.943	0.948
0.36	1.013	1.018
0.37	1.087	1.092
0.38	1.154	1.159
0.39	1.22	1.225
0.4	1.293	1.297
0.41	1.422	1.426
0.42	1.541	1.545
0.43	1.634	1.638
0.44	1.767	1.773
0.45	1.85	1.856
0.46	1.946	1.952
0.47	2.117	2.121
0.48	2.257	2.264
0.49	2.557	2.564
0.5	2.826	2.833
0.51	3.045	3.066
0.52	3.25	3.271
0.53	3.575	3.593
0.54	3.835	3.853
0.55	4.215	4.225
0.56	4.953	4.952
0.57	5.367	5.366
0.58	5.764	5.763
0.59	6.299	6.288
0.6	7.006	6.992
0.61	7.551	7.539
0.62	9.011	8.98
0.63	10.441	10.403
0.64	16.958	16.991
0.65	28.219	28.307
0.66	47.976	47.413
0.67	5236.48	5305.78
0.68	19961.9	19540.9
0.69	35032.4	33872.6
0.7	49944.8	47549.4
0.71	64622	60361.2
0.72	79624.4	73014.1
0.73	94719.8	85375.6
0.74	109753	97493.2
0.75	124763	109145
0.76	139613	120544
0.77	154554	131478
0.78	169577	142031
0.79	185041	152942
0.8	210456	173758
0.81	236415	194526
0.82	262349	214498
0.83	288101	233319
0.84	313940	251798
0.85	340073	269893
0.86	365744	288360
0.87	391389	304300
0.88	417134	321517
0.89	442965	336985
0.9	468805	352858
0.91	494740	369043
0.92	520762	383411
0.93	548214	397669
0.94	583296	421319
0.95	618292	442684
0.96	653928	465554
0.97	689240	487764
0.98	724565	508369
0.99	760036	528584
1	795143	547294
